OK------>curAddr at 0x487A60
OK------>ChrClasses = 0x2d14b10
OK------>ChrRaces = 0x2d14d00
OK------>ChrSpecialization = 0x2d14ef0
OK------>ConfigurationWarning = 0x2d150e0
OK------>Cfg_Configs = 0x2d152d0
OK------>GameTips = 0x2d154c0
OK------>MapDifficultyXCondition = 0x2d156b0
OK------>Difficulty = 0x2d158a0
OK------>PlayerCondition = 0x2d15a90
OK------>LoadingScreens = 0x2d15c80
OK------>LoadingScreenTaxiSplines = 0x2d15e70
OK------>MapLoadingScreen = 0x2d16060
OK------>TaxiPathNode = 0x2d16250
OK------>UiMapArtStyleLayer = 0x2d16440
OK------>UiMapArtTile = 0x2d16630
OK------>TaxiPath = 0x2d16820
OK------>UiMapArt = 0x2d16a10
OK------>UiCanvas = 0x2d16c00
OK------>CreatureDisplayInfo = 0x2d16df0
OK------>CreatureModelData = 0x2d16fe0
OK------>SDReplacementModel = 0x2d171d0
OK------>CharComponentTextureLayouts = 0x2d173c0
OK------>CharComponentTextureSections = 0x2d175b0
OK------>ChrCustomizationBoneSet = 0x2d177a0
OK------>ChrCustomizationChoice = 0x2d17990
OK------>ChrCustomizationCondModel = 0x2d17b80
OK------>ChrCustomizationElement = 0x2d17d70
OK------>ChrCustomizationGeoset = 0x2d17f60
OK------>ChrCustomizationMaterial = 0x2d18150
OK------>ChrCustomizationOption = 0x2d18340
OK------>ChrCustomization = 0x2d18530
OK------>ChrCustomizationReq = 0x2d18720
OK------>ChrCustomizationSkinnedModel = 0x2d18910
OK------>ChrCustItemGeoModify = 0x2d18b00
OK------>ChrModelMaterial = 0x2d18cf0
OK------>ChrModel = 0x2d18ee0
OK------>ChrModelTextureLayer = 0x2d190d0
OK------>ComponentModelFileData = 0x2d192c0
OK------>ComponentTextureFileData = 0x2d194b0
OK------>CreatureDisplayInfoGeosetData = 0x2d196a0
OK------>CreatureDisplayInfoCond = 0x2d19890
OK------>CreatureDisplayInfoCondXChoice = 0x2d19a80
OK------>CreatureDisplayInfoExtra = 0x2d19c70
OK------>CreatureDisplayInfoOption = 0x2d19e60
OK------>GuildColorBackground = 0x2d1a050
OK------>GuildColorBorder = 0x2d1a240
OK------>GuildColorEmblem = 0x2d1a430
OK------>GuildEmblem = 0x2d1a620
OK------>GuildShirtBackground = 0x2d1a810
OK------>GuildShirtBorder = 0x2d1aa00
OK------>GuildTabardBackground = 0x2d1abf0
OK------>GuildTabardBorder = 0x2d1ade0
OK------>GuildTabardEmblem = 0x2d1afd0
OK------>HelmetAnimScaling = 0x2d1b1c0
OK------>HelmetGeosetData = 0x2d1b3b0
OK------>ItemAppearance = 0x2d1b5a0
OK------>ItemDisplayInfo = 0x2d1b790
OK------>ItemDisplayInfoMaterialRes = 0x2d1b980
OK------>ItemModifiedAppearance = 0x2d1bb70
OK------>ItemVisualsXEffect = 0x2d1bd60
OK------>ParticleColor = 0x2d1bf50
OK------>TextureFileData = 0x2d1c140
OK------>ChrCustomizationConversion = 0x2d1c330
OK------>ChrCustomizationDisplayInfo = 0x2d1c520
OK------>ChrCustomizationReqChoice = 0x2d1c710
OK------>ChrRaceXChrModel = 0x2d1c900
OK------>TransformMatrix = 0x2d1caf0
OK------>ChrCustClientChoiceConversion = 0x2d1cce0
OK------>CharacterFacialHairStyles = 0x2d1ced0
OK------>BeamEffect = 0x2d1d0c0
OK------>GradientEffect = 0x2d1d2b0
OK------>DissolveEffect = 0x2d1d4a0
OK------>EdgeGlowEffect = 0x2d1d690
OK------>NPCModelItemSlotDisplayInfo = 0x2d1d880
OK------>ShadowyEffect = 0x2d1da70
OK------>SpellProceduralEffect = 0x2d1dc60
OK------>SpellVisualAnim = 0x2d1de50
OK------>SpellVisualEffectName = 0x2d1e040
OK------>SpellVisualKitModelAttach = 0x2d1e230
OK------>SpellVisualKit = 0x2d1e420
OK------>Item = 0x2d1e610
OK------>SpellVisualKitEffect = 0x2d1e800
OK------>SpellVisual = 0x2d1e9f0
OK------>Creature = 0x2d1ebe0
OK------>GMSurveyCurrentSurvey = 0x2d1edd0
OK------>ItemPriceBase = 0x2d1efc0
OK------>MountCapability = 0x2d1f1b0
OK------>GMSurveyQuestions = 0x2d1f3a0
OK------>SpellAuraRestrictions = 0x2d1f590
OK------>AzeriteItem = 0x2d1f780
OK------>QuestLine = 0x2d1f970
OK------>UiModelSceneCamera = 0x2d1fb60
OK------>ChrClassesXPowerTypes = 0x2d1fd50
OK------>GMSurveySurveys = 0x2d1ff40
OK------>ItemRandomProperties = 0x2d20130
OK------>AzeriteItemMilestonePower = 0x2d20320
OK------>QuestLineXQuest = 0x2d20510
OK------>GroupFinderActivity = 0x2d20700
OK------>ItemRandomSuffix = 0x2d208f0
OK------>GarrAbilityCategory = 0x2d20ae0
OK------>ChrClassRaceSex = 0x2d20cd0
