OK------>curAddr at 0x6F7C20
OK------>ChrClasses = 0x327b0d0
OK------>ChrRaces = 0x327b370
OK------>ChrSpecialization = 0x327b610
OK------>ConfigurationWarning = 0x327b8b0
OK------>Cfg_Configs = 0x327bb50
OK------>GameTips = 0x327bdf0
OK------>MapDifficultyXCondition = 0x327c090
OK------>Difficulty = 0x327c330
OK------>PlayerCondition = 0x327c5d0
OK------>LoadingScreens = 0x327c870
OK------>LoadingScreenTaxiSplines = 0x327cb10
OK------>MapLoadingScreen = 0x327cdb0
OK------>TaxiPathNode = 0x327d050
OK------>UiMapArtStyleLayer = 0x327d2f0
OK------>UiMapArtTile = 0x327d590
OK------>TaxiPath = 0x327d830
OK------>UiMapArt = 0x327dad0
OK------>UiCanvas = 0x327dd70
OK------>CreatureDisplayInfo = 0x327e010
OK------>CreatureModelData = 0x327e2b0
OK------>SDReplacementModel = 0x327e550
OK------>CharComponentTextureLayouts = 0x327e7f0
OK------>CharComponentTextureSections = 0x327ea90
OK------>ChrCustomizationBoneSet = 0x327ed30
OK------>ChrCustomizationChoice = 0x327efd0
OK------>ChrCustomizationCondModel = 0x327f270
OK------>ChrCustomizationElement = 0x327f510
OK------>ChrCustomizationGeoset = 0x327f7b0
OK------>ChrCustomizationMaterial = 0x327fa50
OK------>ChrCustomizationOption = 0x327fcf0
OK------>ChrCustomization = 0x327ff90
OK------>ChrCustomizationReq = 0x3280230
OK------>ChrCustomizationSkinnedModel = 0x32804d0
OK------>ChrCustItemGeoModify = 0x3280770
OK------>ChrModelMaterial = 0x3280a10
OK------>ChrModel = 0x3280cb0
OK------>ChrModelTextureLayer = 0x3280f50
OK------>ChrRaceXChrModel = 0x32811f0
OK------>ComponentModelFileData = 0x3281490
OK------>ComponentTextureFileData = 0x3281730
OK------>CreatureDisplayInfoGeosetData = 0x32819d0
OK------>CreatureDisplayInfoCond = 0x3281c70
OK------>CreatureDisplayInfoCondXChoice = 0x3281f10
OK------>CreatureDisplayInfoExtra = 0x32821b0
OK------>CreatureDisplayInfoOption = 0x3282450
OK------>GuildColorBackground = 0x32826f0
OK------>GuildColorBorder = 0x3282990
OK------>GuildColorEmblem = 0x3282c30
OK------>GuildEmblem = 0x3282ed0
OK------>GuildShirtBackground = 0x3283170
OK------>GuildShirtBorder = 0x3283410
OK------>GuildTabardBackground = 0x32836b0
OK------>GuildTabardBorder = 0x3283950
OK------>GuildTabardEmblem = 0x3283bf0
OK------>HelmetAnimScaling = 0x3283e90
OK------>HelmetGeosetData = 0x3284130
OK------>ItemAppearance = 0x32843d0
OK------>ItemDisplayInfo = 0x3284670
OK------>ItemDisplayInfoMaterialRes = 0x3284910
OK------>ItemDisplayInfoModelMatRes = 0x3284bb0
OK------>ItemModifiedAppearance = 0x3284e50
OK------>ItemVisualsXEffect = 0x32850f0
OK------>ParticleColor = 0x3285390
OK------>TextureFileData = 0x3285630
OK------>CharacterFacialHairStyles = 0x32858d0
OK------>ChrCustomizationConversion = 0x3285b70
OK------>ChrCustomizationDisplayInfo = 0x3285e10
OK------>ChrCustomizationReqChoice = 0x32860b0
OK------>ChrCustomizationVisReq = 0x3286350
OK------>TransformMatrix = 0x32865f0
OK------>ChrCustClientChoiceConversion = 0x3286890
OK------>ChrCustomizationVoice = 0x3286b30
OK------>BeamEffect = 0x3286dd0
OK------>GradientEffect = 0x3287070
OK------>DissolveEffect = 0x3287310
OK------>EdgeGlowEffect = 0x32875b0
OK------>NPCModelItemSlotDisplayInfo = 0x3287850
OK------>ShadowyEffect = 0x3287af0
OK------>SpellProceduralEffect = 0x3287d90
OK------>SpellVisualAnim = 0x3288030
OK------>SpellVisualEffectName = 0x32882d0
OK------>SpellVisualKitModelAttach = 0x3288570
OK------>SpellVisualKit = 0x3288810
OK------>Item = 0x3288ab0
OK------>SpellVisualKitEffect = 0x3288d50
OK------>SpellVisual = 0x3288ff0
OK------>Creature = 0x3289290
OK------>AnimReplacementSet = 0x3289530
OK------>UiTextureAtlas = 0x32897d0
OK------>Exhaustion = 0x3289a70
OK------>TransmogSetItem = 0x3289d10
OK------>MailTemplate = 0x3289fb0
OK------>UiTextureKit = 0x328a250
OK------>AdventureMapPOI = 0x328a4f0
OK------>ManagedWorldStateBuff = 0x328abd0
OK------>Positioner = 0x328ae70
OK------>UiWidgetConstantSource = 0x328b110
OK------>SpellPower = 0x328b3b0
OK------>GarrType = 0x328b650
OK------>TransportAnimation = 0x328b8f0
OK------>SceneScriptGlobalText = 0x328bb90
OK------>Faction = 0x328be30
OK------>ManagedWorldStateInput = 0x328c0d0
OK------>UiWidgetDataSource = 0x328c370
OK------>ScreenEffect = 0x328c610
OK------>PositionerState = 0x328c8b0
OK------>TransportPhysics = 0x328cb50
OK------>CharHairGeosets = 0x328cdf0
OK------>GarrSiteLevel = 0x328d090
OK------>ManagedWorldState = 0x328d330
OK------>AreaConditionalData = 0x328d5d0
OK------>UiWidget = 0x328d870
OK------>SpellPowerDifficulty = 0x328db10
OK------>PositionerStateEntry = 0x328ddb0
OK------>AreaFarClipOverride = 0x328e050
OK------>ScreenEffectType = 0x328e2f0
OK------>GarrSiteLevelPlotInst = 0x328e590
OK------>TransportRotation = 0x328e830
OK------>UiWidgetStringSource = 0x328ead0
OK------>PowerDisplay = 0x328ed70
